,película,año,imdb,metascore,votos
0,Gladiator,(2000),8.5,67,1556370
1,Memento,(2000),8.4,83,1282536
2,Cerdos y diamantes,(2000),8.2,55,883667
3,Requiem for a Dream,(2000),8.3,71,871915
4,American Psycho,(2000),7.6,64,672453
5,X-Men,(2000),7.3,64,632614
6,Cast Away,(2000),7.8,73,617739
7,Unbreakable,(2000),7.3,62,431231
8,Mission: Impossible II,(2000),6.1,59,365914
9,Meet the Parents,(2000),7.0,73,346439
10,"O Brother, Where Art Thou?",(2000),7.7,69,322905
11,Gone in Sixty Seconds,(2000),6.5,35,288276
12,Almost Famous,(2000),7.9,90,286373
13,The Patriot,(2000),7.2,63,286135
14,Wo hu cang long,(2000),7.9,94,277209
15,Scary Movie,(2000),6.2,48,274852
16,How the Grinch Stole Christmas,(2000),6.3,46,270988
17,Final Destination,(2000),6.7,36,268973
18,Pitch Black,(2000),7.0,49,248784
19,The Beach,(I) (2000),6.6,43,247792
20,Amores perros,(2000),8.1,83,247581
21,"Me, Myself & Irene",(2000),6.6,49,245575
22,Remember the Titans,(2000),7.8,48,225027
23,Miss Simpatía,(2000),6.3,43,221583
24,The Emperor's New Groove,(2000),7.4,70,216386
25,What Women Want,(2000),6.4,47,216158
26,Traffic,(2000),7.6,86,215247
27,Erin Brockovich,(2000),7.4,73,210552
28,Pollitos en fuga,(2000),7.1,88,201471
29,Chocolat,(2000),7.3,64,197452
30,Charlie's Angels,(2000),5.6,52,192635
31,Batoru rowaiaru,(2000),7.6,81,189935
32,High Fidelity,(2000),7.4,79,186018
33,Road Trip,(2000),6.5,55,174514
34,The Perfect Storm,(2000),6.5,59,174070
35,Fa yeung nin wah,(2000),8.1,87,159400
36,Scream 3,(2000),5.6,56,157332
37,"Hey, dónde está mi auto?",(2000),5.5,30,143498
38,Billy Elliot,(2000),7.7,74,139458
39,Hollow Man,(2000),5.8,24,135505
40,Shanghai Noon,(2000),6.6,77,132485
41,Revelaciones,(2000),6.6,51,132065
42,The 6th Day,(2000),5.9,49,125935
43,The Whole Nine Yards,(2000),6.7,47,125240
44,Men of Honor,(2000),7.2,56,122094
45,Pay It Forward,(2000),7.2,40,122032
46,Coyote Ugly,(2000),5.7,27,118750
47,The Family Man,(2000),6.8,42,114877
48,Dancer in the Dark,(2000),7.9,63,113951
49,Frequency,(2000),7.4,67,112975
50,Little Nicky,(2000),5.3,38,109844
51,Bedazzled,(2000),6.1,49,109640
52,Malèna,(2000),7.4,54,108230
53,The Cell,(2000),6.4,40,106468
54,The Road to El Dorado,(2000),6.9,51,103093
55,Bring It On,(2000),6.1,52,101781
56,Big Momma's House,(2000),5.2,33,88831
57,Buscando a Forrester,(2000),7.3,62,88192
58,U-571,(2000),6.6,62,84589
59,Space Cowboys,(2000),6.5,73,84400
60,Battlefield Earth,(2000),2.5,9,81980
61,Shaft,(2000),6.0,50,79378
62,Mission to Mars,(2000),5.7,34,75358
63,The Gift,(2000),6.7,62,72798
64,Romeo Must Die,(2000),6.1,52,72516
65,The Replacements,(2000),6.6,30,67790
66,Wonder Boys,(2000),7.2,74,65720
67,Best in Show,(2000),7.4,78,65046
68,Dinosaur,(2000),6.4,56,64848
69,Sexy Beast,(2000),7.3,79,64466
70,Les rivières pourpres,(2000),6.9,49,64134
71,Vertical Limit,(2000),5.9,48,63944
72,Titan A.E.,(2000),6.6,48,62919
73,Trece días,(2000),7.3,67,61185
74,Red Planet,(2000),5.7,34,59268
75,The Legend of Bagger Vance,(2000),6.7,47,58502
76,Proof of Life,(2000),6.3,45,58242
77,Quills,(2000),7.2,70,55797
78,Boiler Room,(2000),7.0,63,55357
79,Nueve reinas,(2000),7.9,80,55356
80,Keeping the Faith,(2000),6.4,60,52780
81,28 Days,(2000),6.1,46,52614
82,Nutty Professor II: The Klumps,(2000),4.4,38,52404
83,Ginger Snaps,(2000),6.8,70,50015
84,Rules of Engagement,(2000),6.4,45,49438
85,The Kid,(2000),6.1,45,43519
86,La sombra del vampiro,(2000),6.9,71,43296
87,Next Friday,(2000),6.1,41,42847
88,Tigerland,(2000),6.9,55,42487
89,Reindeer Games,(2000),5.8,37,41429
90,Chopper,(2000),7.1,68,40522
91,Small Time Crooks,(2000),6.7,69,39857
92,Book of Shadows: Blair Witch 2,(2000),4.0,15,39265
93,102 Dalmatians,(2000),4.8,35,38834
94,Nurse Betty,(2000),6.3,69,35835
95,Get Carter,(2000),5.1,24,35768
96,Where the Heart Is,(2000),6.7,30,35695
97,Dungeons & Dragons,(2000),3.6,14,35517
98,Dracula 2001,(2000),4.9,26,35434
99,The Way of the Gun,(2000),6.6,49,34605
100,Vampire Hunter D: Bloodlust,(2000),7.6,62,34082
101,Sociedad secreta,(2000),5.6,24,33171
102,Area de seguridad compartida,(2000),7.7,58,32763
103,You Can Count on Me,(2000),7.5,85,30844
104,The Art of War,(2000),5.7,30,30527
105,Loser,(2000),5.3,35,29877
106,Pollock,(2000),7.0,77,29023
107,The Watcher,(I) (2000),5.3,22,28049
108,Autumn in New York,(2000),5.6,24,27548
109,Under Suspicion,(2000),6.4,43,26943
110,Yi yi,(2000),8.1,94,26883
111,Before Night Falls,(2000),7.1,85,25974
112,The Flintstones in Viva Rock Vegas,(2000),3.7,27,24788
113,The Contender,(2000),6.9,59,24687
114,Brother,(I) (2000),7.1,47,23922
115,Tillsammans,(2000),7.4,84,23423
116,Blinkende lygter,(2000),7.5,47,23284
117,Love & Basketball,(2000),7.2,72,23210
118,En julio,(2000),7.6,71,22568
119,Center Stage,(2000),6.7,52,22386
120,The Yards,(2000),6.4,58,22322
121,The Million Dollar Hotel,(2000),5.7,25,22104
122,Return to Me,(2000),6.9,54,22059
123,State and Main,(2000),6.7,75,21825
124,Un vuelco del corazón,(2000),5.8,52,21404
125,My Dog Skip,(2000),7.0,61,21047
126,Highlander: Endgame,(2000),4.6,21,20966
127,The Adventures of Rocky & Bullwinkle,(2000),4.3,36,20866
128,El doctor y sus mujeres,(2000),4.7,64,20027
129,Sånger från andra våningen,(2000),7.5,77,19855
130,The Tigger Movie,(2000),6.3,53,19827
131,Saving Grace,(2000),6.9,62,19018
132,Supernova,(I) (2000),4.8,19,18799
133,Urban Legends: Final Cut,(2000),4.4,16,18460
134,Baise-moi,(2000),4.4,35,18244
135,Boys and Girls,(2000),5.4,29,17321
136,Gossip,(I) (2000),5.9,31,17269
137,The Dish,(2000),7.2,74,16827
138,Cecil B. Demented,(2000),6.2,57,16308
139,The Man Who Cried,(2000),6.1,40,16153
140,Down to You,(2000),5.0,13,15534
141,All the Pretty Horses,(2000),5.8,55,15430
142,Drowning Mona,(2000),5.7,25,15232
143,Werckmeister harmóniák,(2000),8.0,92,15226
144,Bless the Child,(2000),5.1,17,15108
145,Ready to Rumble,(2000),5.3,23,14982
146,Der Krieger und die Kaiserin,(2000),7.4,64,14834
147,Code inconnu: Récit incomplet de divers voyages,(2000),7.1,74,14660
148,Seom,(2000),6.9,61,14414
149,Gangster No. 1,(2000),6.7,60,14349
150,Animal Factory,(2000),6.6,65,14251
151,Anatomie,(2000),6.0,33,13795
152,Italiensk for begyndere,(2000),7.1,77,13675
153,The Ladies Man,(2000),5.2,22,13601
154,Snow Day,(2000),5.1,34,13311
155,Aventuras en pañales en Paris,(2000),6.1,62,13252
156,Blood: The Last Vampire,(2000),6.6,44,13045
157,Hanging Up,(2000),4.8,33,12973
158,Bait,(2000),5.7,39,12948
159,Bamboozled,(2000),6.6,56,12049
160,"Harry, un ami qui vous veut du bien",(2000),7.1,75,11759
161,The Next Best Thing,(2000),4.7,25,11546
162,Whatever It Takes,(2000),5.5,20,11491
163,Girlfight,(2000),6.7,70,11256
164,Sous le sable,(2000),7.1,86,11224
165,Lost Souls,(2000),4.8,16,11210
166,The Little Vampire,(2000),5.7,45,11030
167,Woman on Top,(2000),5.3,41,10793
168,Lucky Numbers,(2000),5.1,31,10790
169,Left Behind,(2000),4.3,22,10236
170,Le goût des autres,(2000),7.2,78,10183
171,Happy Accidents,(2000),7.2,60,10087
172,Pane e tulipani,(2000),7.3,68,9914
173,The Weight of Water,(2000),5.8,45,9898
174,Duets,(2000),6.1,40,9859
175,Hamlet,(2000),5.9,70,9827
176,101 Reykjavík,(2000),6.8,68,9824
177,Flandersui gae,(2000),6.9,66,9796
178,What Planet Are You From?,(2000),5.6,41,9736
179,Screwed,(2000),5.6,7,9370
180,Panic,(2000),6.7,77,8870
181,Here on Earth,(2000),5.2,25,8800
182,Uzumaki,(2000),6.1,62,8707
183,Zamani barayé masti asbha,(2000),7.7,78,8666
184,George Washington,(2000),7.2,82,8546
185,Les glaneurs et la glaneuse,(2000),7.7,86,8296
186,Guizi lai le,(2000),8.2,70,8294
187,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,92,1938667
188,Una mente brillante,(2001),8.2,72,960330
189,"Monsters, Inc.",(2001),8.1,79,945793
190,Donnie Darko,(2001),8.0,88,827782
191,Harry Potter and the Sorcerer's Stone,(2001),7.6,65,821420
192,El viaje de Chihiro,(2001),8.6,96,805628
193,Le fabuleux destin d'Amélie Poulain,(2001),8.3,69,776269
194,Shrek,(2001),7.9,84,708635
195,La gran estafa,(2001),7.7,74,599214
196,Training Day,(2001),7.7,71,455556
197,La caída del halcón negro,(2001),7.7,74,411907
198,The Fast and the Furious,(2001),6.8,58,406699
199,The Others,(2001),7.6,74,380598
200,Mulholland Dr.,(2001),7.9,86,371364
201,"Pearl Harbor, entre el fuego y la pasión",(2001),6.2,44,344197
202,La momia regresa,(2001),6.4,48,338077
203,Jurassic Park III,(2001),5.9,42,333585
204,A. I. inteligencia artificial,(2001),7.2,65,316927
205,The Royal Tenenbaums,(2001),7.6,76,305445
206,Amor en rojo,(2001),7.6,66,293402
207,Hannibal,(2001),6.8,57,285317
208,Zoolander,(2001),6.5,61,283905
209,Vanilla Sky,(2001),6.9,45,279189
210,Enemigo al acecho,(2001),7.5,53,271427
211,Soplo,(2001),7.5,52,269296
212,La segunda vez es mejor,(2001),6.4,43,264675
213,Bridget Jones's Diary,(2001),6.8,66,254207
214,Legally Blonde,(2001),6.4,59,234345
215,Una pareja explosiva 2,(2001),6.7,48,231883
216,Planet of the Apes,(2001),5.7,50,224738
217,Tomb Raider,(2001),5.7,33,215039
218,A Knight's Tale,(2001),6.9,56,195624
219,Acceso autorizado,(2001),6.5,32,192922
220,K-PAX,(2001),7.4,49,189616
221,Otra película de miedo,(2001),5.3,29,169178
222,Juego de espías,(2001),7.0,63,162168
223,From Hell,(2001),6.7,54,160730
224,Jay and Silent Bob Strike Back,(2001),6.8,51,158724
225,El diario de la princesa,(2001),6.4,52,156489
226,Lección de amor,(2001),7.6,28,153130
227,Shallow Hal,(2001),6.0,48,139817
228,Jeepers Creepers,(2001),6.2,49,137069
229,Evolution,(2001),6.1,40,133287
230,The Score,(2001),6.8,71,131660
231,Atlantis: El imperio perdido,(2001),6.9,52,128440
232,Y tu mamá también,(2001),7.7,89,126664
233,Ghost World,(2001),7.3,90,124380
234,Spy Kids,(2001),5.6,71,123156
235,Rat Race,(2001),6.4,52,120404
236,Lagaan: Once Upon a Time in India,(2001),8.1,84,117899
237,Serendipity,(2001),6.8,52,117700
238,The Man Who Wasn't There,(2001),7.5,73,112820
239,No es otra tonta película americana,(2001),5.7,32,111583
240,The Mexican,(2001),6.1,43,111216
241,Tras líneas enemigas,(2001),6.4,49,109997
242,Super Troopers,(2001),7.0,48,109824
243,Ali,(2001),6.7,65,103422
244,Das Experiment,(2001),7.7,59,95267
245,The One,(2001),5.9,25,94504
246,Along Came a Spider,(2001),6.4,42,93186
247,Sweet November,(2001),6.7,27,93061
248,El pasado nos condena,(2001),7.1,69,92245
249,Gosford Park,(2001),7.2,90,91468
250,Thir13en Ghosts,(2001),5.6,30,90955
251,Frailty,(2001),7.2,64,88047
252,Kate & Leopoldo,(2001),6.4,44,87370
253,Siu Lam juk kau,(2001),7.3,68,85173
254,Experta en bodas,(2001),5.3,33,84288
255,The Last Castle,(2001),6.9,43,83575
256,Fantasía final: El espíritu en nosotros,(2001),6.4,49,83325
257,Joy Ride,(2001),6.6,75,73414
258,Bandits,(2001),6.5,60,69899
259,Le pacte des loups,(2001),7.0,57,69338
260,El espinazo del diablo,(2001),7.4,78,69166
261,La pianista,(2001),7.5,79,68588
262,Waking Life,(2001),7.7,84,65918
263,Kiss of the Dragon,(2001),6.6,58,65583
264,Save the Last Dance,(2001),6.2,53,64532
265,The Pledge,(I) (2001),6.8,71,63983
266,Animal,(2001),4.8,43,62223
267,Cats & Dogs,(2001),5.1,47,61430
268,Session 9,(2001),6.4,58,61314
269,How High,(2001),6.2,29,60600
270,Wet Hot American Summer,(2001),6.5,42,59575
271,Jason X,(2001),4.4,25,59302
272,Joe Dirt,(2001),6.0,20,59288
273,America's Sweethearts,(2001),5.7,44,59258
274,Koroshiya 1,(2001),7.0,55,58578
275,Original Sin,(2001),6.0,33,58464
276,Heartbreakers,(2001),6.2,47,56743
277,Ghosts of Mars,(2001),4.9,35,56513
278,The Majestic,(2001),6.9,27,56448
279,Ni una palabra,(2001),6.3,38,55807
280,15 minutos,(2001),6.1,34,51342
281,Cowboy Bebop: La película,(2001),7.8,61,51216
282,The 51st State,(2001),6.3,23,50387
283,Freddy Got Fingered,(2001),4.6,13,50203
284,No Man's Land,(I) (2001),7.9,84,48142
285,3000 millas al infierno,(2001),5.9,21,47976
286,Dr. Dolittle 2,(2001),4.7,49,46545
287,Life as a House,(2001),7.5,45,44996
288,Rock Star,(2001),6.3,54,44570
289,Alta velocidad,(2001),4.6,29,42421
290,Black Knight,(2001),4.9,32,42376
291,Wasabi,(2001),6.6,53,41783
292,The Curse of the Jade Scorpion,(2001),6.7,52,41725
293,Tan perversa como el diablo,(2001),5.8,22,41711
294,In the Bedroom,(2001),7.4,86,41385
295,Mean Machine,(2001),6.4,45,40979
296,Nostalgia del pasado,(2001),6.9,55,40127
297,The Believer,(2001),7.1,75,40044
298,Bully,(2001),6.9,45,39679
299,The Glass House,(2001),5.8,34,39018
300,Heist,(2001),6.5,66,38362
301,Lucía y el sexo,(2001),7.0,65,38001
302,Osmosis Jones,(2001),6.3,57,37736
303,Jimmy Neutron: Niño genio,(2001),6.1,65,36891
304,Hedwig and the Angry Inch,(2001),7.7,85,36763
305,Exit Wounds,(2001),5.6,39,36361
306,Captain Corelli's Mandolin,(2001),5.9,36,35407
307,Bubble Boy,(2001),5.7,41,34544
308,The Shipping News,(2001),6.7,47,33562
309,Hard Ball,(2001),6.4,48,32758
310,One Night at McCool's,(2001),6.2,46,31015
311,The Tailor of Panama,(2001),6.1,66,30533
312,Sennen joyû,(2001),7.8,70,30320
313,Riding in Cars with Boys,(2001),6.5,43,30024
314,Antitrust,(2001),6.1,31,29943
315,Valentine,(2001),4.9,18,29473
316,Domestic Disturbance,(2001),5.6,29,28239
317,Alguien como tú,(2001),6.0,32,27074
318,Monsoon Wedding,(2001),7.3,77,26301
319,Ruleta rusa,(2001),6.0,51,26051
320,Crocodile Dundee in Los Angeles,(2001),4.8,37,25757
321,Crazy/Beautiful,(2001),6.4,61,25295
322,Mirada de ángel,(2001),5.7,39,25252
323,Buffalo Soldiers,(2001),6.7,56,25227
324,Knockaround Guys,(2001),6.1,30,24520
325,Down to Earth,(2001),5.4,32,24460
326,Impostor,(2001),6.1,33,24263
327,Josie and the Pussycats,(2001),5.6,47,24176
328,Glitter,(2001),2.4,14,23894
329,Kairo,(2001),6.5,70,23655
330,Metoroporisu,(2001),7.2,75,22137
331,Lost and Delirious,(2001),6.8,53,21906
332,O,(2001),6.1,53,21699
333,Enigma,(2001),6.4,64,21625
334,La stanza del figlio,(2001),7.3,73,20977
335,Tape,(2001),7.2,71,20768
336,Lantana,(2001),7.2,84,20015
337,Just Visiting,(2001),5.7,38,19847
338,Get Over It,(2001),5.7,52,19651
339,Tomcats,(2001),5.3,15,19191
340,Made,(2001),6.3,62,19075
341,Iris,(I) (2001),7.0,76,18820
342,Monkeybone,(2001),4.8,40,18770
343,Human Nature,(2001),6.4,56,18685
344,Out Cold,(2001),6.2,22,18126
345,Historias prohibidas,(2001),6.8,50,18080
346,Le placard,(2001),7.0,72,18059
347,Kissing Jessica Stein,(2001),6.6,72,17248
348,American Outlaws,(2001),5.9,25,17084
349,Summer Catch,(2001),5.1,21,16436
350,What's the Worst That Could Happen?,(2001),5.4,37,16426
351,Sur mes lèvres,(2001),7.3,82,16182
352,El hijo de la novia,(2001),7.8,68,16178
353,Baby Boy,(2001),6.4,55,15873
354,Elling,(2001),7.5,70,15516
355,Head Over Heels,(2001),5.4,27,15000
356,Sugar & Spice,(2001),5.7,48,14962
357,The Musketeer,(2001),4.7,27,14898
358,Pootie Tang,(2001),5.2,31,14763
359,Nirgendwo in Afrika,(2001),7.5,72,13732
360,Dime que no es cierto,(2001),5.0,21,13600
361,Corky Romano,(2001),4.7,20,13546
362,Intacto,(2001),6.8,59,13464
363,Dogtown and Z-Boys,(2001),7.6,76,13183
364,Charlotte Gray,(2001),6.4,48,12964
365,Intimacy,(2001),6.1,69,12797
366,À ma soeur!,(2001),6.4,77,12439
367,Le peuple migrateur,(2001),7.9,82,12157
368,The Deep End,(2001),6.5,78,11875
369,Novocaine,(2001),5.8,45,11503
370,Thirteen Conversations About One Thing,(2001),7.0,74,11347
371,Recess: School's Out,(2001),6.5,43,11303
372,The Grey Zone,(2001),7.0,58,11141
373,Joe Somebody,(2001),5.5,42,10963
374,Nabbeun namja,(2001),6.6,49,10335
375,L.I.E.,(2001),7.1,73,10309
376,The Lord of the Rings: The Two Towers,(2002),8.8,87,1723962
377,Catch Me If You Can,(2002),8.1,75,1042727
378,The Pianist,(2002),8.5,85,873187
379,Spider-Man,(2002),7.4,73,851211
380,Cidade de Deus,(2002),8.6,79,779327
381,Star Wars: Episode II - Attack of the Clones,(2002),6.6,54,737408
382,Harry Potter and the Chamber of Secrets,(2002),7.4,63,665626
383,Sentencia previa,(2002),7.6,80,570342
384,Identidad desconocida,(2002),7.8,68,563540
385,La era del hielo,(2002),7.5,61,502034
386,Gangs of New York,(2002),7.5,72,459025
387,28 Days Later...,(2002),7.5,73,430232
388,Hombres de negro II,(2002),6.2,49,391677
389,Signs,(2002),6.8,59,376382
390,The Ring,(2002),7.1,57,364226
391,Equilibrium,(2002),7.3,33,340769
392,The Transporter,(2002),6.8,51,313909
393,Insomnia,(2002),7.2,78,308809
394,8 Mile,(2002),7.2,77,307353
395,La habitación del pánico,(2002),6.8,65,289055
396,Dragón rojo,(2002),7.2,60,283842
397,El huésped maldito,(2002),6.6,33,281013
